doi                       , autor, revista, apellido, pais
10.1007/s11596-024-2960-5 ,      ,        ,         , HK
10.1007/s44163-024-00126-3,      ,        ,         , FI
10.1007/s40211-025-00538-2,      ,        ,         , GE
10.1007/s40211-025-00538-2,      ,        ,         , GB
10.1007/s00266-024-04421-3,      ,        ,         , US
10.1007/s00266-024-04421-3,      ,        ,         , BR
10.1007/s12371-024-01011-2,      ,        ,         , IT
10.1007/s12178-025-09992-5,      ,        ,         , US
10.1007/s42979-024-03491-z,      ,        ,         , TN
10.1007/s00464-025-12203-4,      ,        ,         , JP
10.1007/s10639-024-13294-7,      ,        ,         , TR
10.1007/s43253-024-00134-0,      ,        ,         , AR
10.1007/s11301-024-00451-y,      ,        ,         , DE
10.1007/s40199-024-00548-5,      ,        ,         , IN
10.1007/s00146-024-02102-y,      ,        ,         , DK
10.1007/s11747-024-01076-z,      ,        ,         , US
10.1007/s00146-025-02620-3,      ,        ,         , US
10.1007/s00114-025-02029-4,      ,        ,         , RU
10.1007/s43681-024-00589-1,      ,        ,         , US
10.1007/s12178-025-09982-7,      ,        ,         , US
10.1007/s13347-024-00799-9,      ,        ,         , SE
10.1007/s11126-025-10167-1,      ,        ,         , GB
10.1007/s11126-025-10167-1,      ,        ,         , TR
10.1007/s00424-025-03067-7,      ,        ,         , DE
10.1007/s11908-024-00854-8,      ,        ,         , US
10.1007/s44243-025-00054-5,      ,        ,         , US
10.1007/s44217-025-00767-1,      ,        ,         , ID
10.1007/s44217-025-00767-1,      ,        ,         , MY
10.1007/s40670-024-02190-x,      ,        ,         , TW
10.1007/s40670-024-02190-x,      ,        ,         , JP
10.1007/s40670-024-02190-x,      ,        ,         , US
10.1007/s40670-024-02190-x,      ,        ,         , GB
10.1007/s40670-024-02190-x,      ,        ,         , CA
10.1007/s11126-025-10167-1,      ,        ,         , GB
10.1007/s11126-025-10167-1,      ,        ,         , TR
10.1007/s10916-025-02157-4,      ,        ,         , IE
10.1007/s10639-024-13081-4,      ,        ,         , TR
10.1007/s12094-025-03948-4,      ,        ,         , ES
10.1007/s43621-024-00682-9,      ,        ,         , IN
10.1007/s43621-024-00682-9,      ,        ,         , SA
10.1007/s43621-024-00682-9,      ,        ,         , IN
10.1007/s43621-024-00682-9,      ,        ,         , SA
10.1007/s12026-024-09527-z,      ,        ,         , GB
10.1007/s10845-024-02457-5,      ,        ,         , US
10.1007/s10741-024-10431-9,      ,        ,         , PL
10.1007/s42379-024-00168-1,      ,        ,         , CN
10.1007/s40593-024-00398-x,      ,        ,         , US
10.1007/s11883-025-01316-9,      ,        ,         , US
10.1007/s12325-025-03198-4,      ,        ,         , PL
10.1007/s12325-025-03198-4,      ,        ,         , BE
10.1007/s12325-025-03198-4,      ,        ,         , CO
10.1007/s12325-025-03198-4,      ,        ,         , US
10.1007/s12325-025-03198-4,      ,        ,         , ES
10.1007/s12325-025-03198-4,      ,        ,         , BR
10.1007/s12325-025-03198-4,      ,        ,         , DE
10.1007/s12325-025-03198-4,      ,        ,         , NL
10.1007/s12325-025-03198-4,      ,        ,         , CA
10.1007/s12325-025-03198-4,      ,        ,         , IL
10.1007/s10916-024-02038-2,      ,        ,         , IT
10.1007/s11060-025-05094-x,      ,        ,         , DE
10.1007/s11060-025-05094-x,      ,        ,         , US
10.1007/s11060-025-05094-x,      ,        ,         , FR
10.1007/s11097-024-10004-z,      ,        ,         , BE
10.1007/s12541-025-01288-5,      ,        ,         , KR
10.1007/s11023-024-09664-2,      ,        ,         , GB
