source,target,path_len,path
Zhong2025,Zhong2025,1,"[""Zhong2025""]"
Nygren2025,Nygren2025,1,"[""Nygren2025""]"
Anik2024,Anik2024,1,"[""Anik2024""]"
Abdullah2025,Abdullah2025,1,"[""Abdullah2025""]"
Saarela2025,Saarela2025,1,"[""Saarela2025""]"
Lee2024,Lee2024,1,"[""Lee2024""]"
Ltourneau2025,Ltourneau2025,1,"[""Ltourneau2025""]"
Akapnar2024,Akapnar2024,1,"[""Akapnar2024""]"
BergerEstilita2025,BergerEstilita2025,1,"[""BergerEstilita2025""]"
Narciso2024,Narciso2024,1,"[""Narciso2024""]"
Humble2024,Humble2024,1,"[""Humble2024""]"
S2025,S2025,1,"[""S2025""]"
Wu2024,Wu2024,1,"[""Wu2024""]"
Sarkar2025,Sarkar2025,1,"[""Sarkar2025""]"
Rismanchian2025,Rismanchian2025,1,"[""Rismanchian2025""]"
Tongchai2025,Tongchai2025,1,"[""Tongchai2025""]"
Machidon2025,Machidon2025,1,"[""Machidon2025""]"
Balkir2025,Balkir2025,1,"[""Balkir2025""]"
Chance2025,Chance2025,1,"[""Chance2025""]"
Sabic2024,Sabic2024,1,"[""Sabic2024""]"
Dai2024,Dai2024,1,"[""Dai2024""]"
Uckelmann2025,Uckelmann2025,1,"[""Uckelmann2025""]"
Delcker2024,Delcker2024,1,"[""Delcker2024""]"
Karimova2024,Karimova2024,1,"[""Karimova2024""]"
Blahopoulou2025,Blahopoulou2025,1,"[""Blahopoulou2025""]"
Busch2024,Busch2024,1,"[""Busch2024""]"
McLean2025,McLean2025,1,"[""McLean2025""]"
He2025,He2025,1,"[""He2025""]"
Ursava2025,Ursava2025,1,"[""Ursava2025""]"
Michalik2025,Michalik2025,1,"[""Michalik2025""]"
Hong2024,Hong2024,1,"[""Hong2024""]"
Labadze2023,Labadze2023,1,"[""Labadze2023""]"
Yim2024,Yim2024,1,"[""Yim2024""]"
Strzelecki2024,Strzelecki2024,1,"[""Strzelecki2024""]"
Shen2025,Shen2025,1,"[""Shen2025""]"
Meinlschmidt2025,Meinlschmidt2025,1,"[""Meinlschmidt2025""]"
Takefuji2025,Takefuji2025,1,"[""Takefuji2025""]"
Saqr2024,Saqr2024,1,"[""Saqr2024""]"
Cheng2025,Cheng2025,1,"[""Cheng2025""]"
Cheng2025,Sanmugam2025,2,"[""Cheng2025"", ""Sanmugam2025""]"
Cheng2025,Gupta2025,2,"[""Cheng2025"", ""Gupta2025""]"
Cheng2025,Papajorgji2025,2,"[""Cheng2025"", ""Papajorgji2025""]"
Cheng2025,Mutambara2025,2,"[""Cheng2025"", ""Mutambara2025""]"
Cai2024,Cai2024,1,"[""Cai2024""]"
Omeh2024,Omeh2024,1,"[""Omeh2024""]"
Lee2025,Lee2025,1,"[""Lee2025""]"
Lee2025,Bottino2024,2,"[""Lee2025"", ""Bottino2024""]"
Lee2025,Nichelatti2025,2,"[""Lee2025"", ""Nichelatti2025""]"
Lee2025,Wang2024,2,"[""Lee2025"", ""Wang2024""]"
Lee2025,Moghaddam2024,2,"[""Lee2025"", ""Moghaddam2024""]"
Lee2025,Abbas2025,2,"[""Lee2025"", ""Abbas2025""]"
Lee2025,Robinson2025,2,"[""Lee2025"", ""Robinson2025""]"
Cheung2024,Cheung2024,1,"[""Cheung2024""]"
Mantulenko2025,Mantulenko2025,1,"[""Mantulenko2025""]"
Ouyang2023,Ouyang2023,1,"[""Ouyang2023""]"
Almuhanna2024,Almuhanna2024,1,"[""Almuhanna2024""]"
Kalaitzidis2025,Kalaitzidis2025,1,"[""Kalaitzidis2025""]"
Tubella2023,Tubella2023,1,"[""Tubella2023""]"
Pitas2025,Pitas2025,1,"[""Pitas2025""]"
Heil2025,Heil2025,1,"[""Heil2025""]"
Palmquist2025,Palmquist2025,1,"[""Palmquist2025""]"
Mahade2025,Mahade2025,1,"[""Mahade2025""]"
Umer2025,Umer2025,1,"[""Umer2025""]"
Katona2025,Katona2025,1,"[""Katona2025""]"
Krause2025,Krause2025,1,"[""Krause2025""]"
Theodorio2024,Theodorio2024,1,"[""Theodorio2024""]"
Alnsour2025,Alnsour2025,1,"[""Alnsour2025""]"
Atchley2024,Atchley2024,1,"[""Atchley2024""]"
Kuzu2025,Kuzu2025,1,"[""Kuzu2025""]"
Khadri2024,Khadri2024,1,"[""Khadri2024""]"
MA2024,MA2024,1,"[""MA2024""]"
Jensen2024,Jensen2024,1,"[""Jensen2024""]"
Dadson2025,Dadson2025,1,"[""Dadson2025""]"
Yan2025,Yan2025,1,"[""Yan2025""]"
Ferraioli2026,Ferraioli2026,1,"[""Ferraioli2026""]"
Fathi2025,Fathi2025,1,"[""Fathi2025""]"
Trajkovski2025,Trajkovski2025,1,"[""Trajkovski2025""]"
CarrascoAguilar2026,CarrascoAguilar2026,1,"[""CarrascoAguilar2026""]"
